Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [GPa],Q11 [GPa],Q22 [GPa],Q12 [GPa],Q66 [GPa],Q16 [GPa],Q26 [GPa],CTE_x [1/K],CTE_y [1/K],Available dimensions
Core - Wood,Soft Maple,550,0.33,11.3,12.681,12.681,4.18472,4.24812,0,0,4e-06,3.5e-05,{t:10.0; w:320.0; l:1600.0};{t:100.0; w:240.0; l:1700.0};{t:100.0; w:240.0; l:1900.0};{t:100.0; w:260.0; l:2100.0};{t:100.0; w:270.0; l:2300.0};{t:100.0; w:280.0; l:1250.0};{t:100.0; w:280.0; l:1350.0};{t:100.0; w:280.0; l:1400.0};{t:100.0; w:280.0; l:1450.0};{t:100.0; w:280.0; l:1500.0};{t:100.0; w:280.0; l:1550.0};{t:100.0; w:280.0; l:1600.0};{t:100.0; w:280.0; l:1650.0};{t:100.0; w:280.0; l:1700.0};{t:100.0; w:280.0; l:1750.0};{t:100.0; w:280.0; l:1800.0};{t:100.0; w:280.0; l:1850.0};{t:100.0; w:280.0; l:1900.0};{t:100.0; w:280.0; l:2100.0};{t:100.0; w:280.0; l:2300.0};{t:100.0; w:290.0; l:1250.0};{t:100.0; w:300.0; l:1350.0};{t:100.0; w:300.0; l:1400.0};{t:100.0; w:300.0; l:1450.0};{t:100.0; w:300.0; l:1500.0};{t:100.0; w:300.0; l:1550.0};{t:100.0; w:300.0; l:1600.0};{t:100.0; w:300.0; l:1650.0};{t:100.0; w:300.0; l:1700.0};{t:100.0; w:300.0; l:1750.0};{t:100.0; w:320.0; l:1350.0};{t:100.0; w:320.0; l:1450.0};{t:100.0; w:320.0; l:1500.0};{t:100.0; w:320.0; l:1550.0};{t:100.0; w:320.0; l:1600.0};{t:100.0; w:320.0; l:1650.0};{t:100.0; w:320.0; l:1700.0};{t:100.0; w:320.0; l:1750.0};{t:100.0; w:320.0; l:1800.0};{t:100.0; w:320.0; l:1850.0};{t:100.0; w:320.0; l:1900.0};{t:100.0; w:330.0; l:1550.0};{t:100.0; w:340.0; l:1500.0};{t:100.0; w:340.0; l:1600.0};{t:100.0; w:340.0; l:1650.0};{t:100.0; w:340.0; l:1700.0};{t:100.0; w:340.0; l:1750.0};{t:100.0; w:340.0; l:1800.0};{t:100.0; w:340.0; l:1850.0};{t:100.0; w:340.0; l:1900.0};{t:100.0; w:360.0; l:1900.0};{t:11.0; w:320.0; l:1600.0};{t:11.5; w:360.0; l:1700.0};{t:12.0; w:320.0; l:1750.0};{t:12.0; w:360.0; l:1750.0};{t:12.5; w:340.0; l:1800.0};{t:140.0; w:340.0; l:2000.0};{t:600.0; w:110.0; l:1050.0};{t:600.0; w:110.0; l:1150.0};{t:600.0; w:110.0; l:1250.0};{t:600.0; w:110.0; l:1350.0};{t:600.0; w:115.0; l:1100.0};{t:600.0; w:115.0; l:1200.0};{t:600.0; w:115.0; l:1300.0};{t:600.0; w:115.0; l:1400.0};{t:600.0; w:115.0; l:1500.0};{t:600.0; w:115.0; l:1600.0};{t:600.0; w:120.0; l:1250.0};{t:600.0; w:120.0; l:1350.0};{t:600.0; w:120.0; l:1450.0};{t:600.0; w:120.0; l:1550.0};{t:600.0; w:120.0; l:1650.0};{t:600.0; w:130.0; l:1460.0};{t:600.0; w:130.0; l:1500.0};{t:600.0; w:130.0; l:1560.0};{t:600.0; w:130.0; l:1600.0};{t:600.0; w:130.0; l:1660.0};{t:600.0; w:130.0; l:1700.0};{t:600.0; w:130.0; l:1760.0};{t:600.0; w:130.0; l:1800.0};{t:7.0; w:240.0; l:1650.0};{t:7.0; w:240.0; l:1900.0};{t:7.0; w:260.0; l:1050.0};{t:7.0; w:280.0; l:1150.0};{t:7.5; w:280.0; l:1100.0};{t:7.5; w:290.0; l:1250.0};{t:7.5; w:300.0; l:1350.0};{t:7.5; w:300.0; l:1400.0};{t:7.5; w:310.0; l:1450.0};{t:7.5; w:320.0; l:1500.0};{t:7.5; w:330.0; l:1550.0};{t:7.5; w:340.0; l:1600.0};{t:8.0; w:260.0; l:1150.0};{t:8.0; w:260.0; l:950.0};{t:8.0; w:280.0; l:1300.0};{t:8.0; w:320.0; l:1450.0};{t:8.0; w:320.0; l:1500.0};{t:8.0; w:330.0; l:1550.0};{t:8.0; w:340.0; l:1600.0};{t:8.0; w:340.0; l:1650.0};{t:8.5; w:280.0; l:1500.0};{t:8.5; w:340.0; l:1600.0};{t:8.5; w:340.0; l:1650.0};{t:9.0; w:340.0; l:1600.0};{t:9.0; w:340.0; l:1650.0};{t:9.0; w:340.0; l:1700.0};{t:9.5; w:260.0; l:1250.0};{t:9.5; w:280.0; l:1350.0};{t:9.5; w:340.0; l:1550.0}
Core - Wood,European Beech,710,0.33,14.31,16.0588,16.0588,5.29941,5.3797,0,0,4e-06,3.5e-05,
Core - Wood,Birch,740,0.33,13.86,15.5538,15.5538,5.13276,5.21053,0,0,4e-06,3.5e-05,
Core - Wood,Bamboo,1150,0.33,12.6,14.1398,14.1398,4.66614,4.73684,0,0,4e-06,3.5e-05,
Core - Wood,Fir,415,0.33,10.24,11.4914,11.4914,3.79217,3.84962,0,0,4e-06,3.5e-05,
Core - Wood,Poplar - Light,370,0.33,7.59,8.51756,8.51756,2.8108,2.85338,0,0,4e-06,3.5e-05,
Core - Wood,Poplar,412.5,0.33,9.245,10.3748,10.3748,3.42369,3.47556,0,0,4e-06,3.5e-05,
Core - Wood,Poplar - Dense,455,0.33,10.9,12.2321,12.2321,4.03658,4.09774,0,0,4e-06,3.5e-05,
Core - Composite,WBK # N21 - Offset Stringer (1x): Pal/Map,421.88,0.33,6.89476,7.73736,7.73736,2.55333,2.59202,0,0,4e-06,3.5e-05,
Core - Composite,WBK # N12 - Offset Stringer (2x): Asp/Map,604.4,0.33,13.44478,15.0878,15.0878,4.97899,5.05443,0,0,4e-06,3.5e-05,
