Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [Pa],Q11 [Pa],Q22 [Pa],Q12 [Pa],Q66 [Pa],Q16 [Pa],Q26 [Pa],Available dimensions
Core - Composite,WBK # N14 - Alternating Asp/Pal,416.39,0.33,11548720000,12960070000,12960070000,4276820000,4341620000,0,0,
Core - Foam,Isosport: IsoCore 150,150,0.33,185000000,207610000,207610000,68510000,69550000,0,0,
Core - Foam,Isosport: IsoCore 250,250,0.33,300000000,336660000,336660000,111100000,112780000,0,0,
Core - Foam,Armacell: Struct GRX 100,100,0.33,120000000,134670000,134670000,44440000,45110000,0,0,
Core - Foam,Armacell: Struct GRX 115,115,0.33,140000000,157110000,157110000,51850000,52630000,0,0,
Core - Foam,Armacell: Struct GRX 150,150,0.33,185000000,207610000,207610000,68510000,69550000,0,0,
Core - Foam,Armacell: Struct GRX 250,250,0.33,300000000,336660000,336660000,111100000,112780000,0,0,
Steel,CDW: Steel Edge,8050,0.33,2.07E+11,2.32E+11,2.32E+11,76599820000,77760420000,0,0,
Steel,Freidrich: Steel Edge,8050,0.33,2.07E+11,2.32E+11,2.32E+11,76599820000,77760420000,0,0,
Titanal,AMAG: Titanal,2700,0.33,68947570000,77373550000,77373550000,25533270000,25920140000,0,0,
Sintered base material,Crown: DS 4001,970,0.33,1516850000,1702220000,1702220000,561730000,570240000,0,0,
Extruded base material,Crown: F7501,970,0.33,1516850000,1702220000,1702220000,561730000,570240000,0,0,
Sintered base material,CPS: P-Tex 4504,970,0.33,1516850000,1702220000,1702220000,561730000,570240000,0,0,{t:0.5; w:211.0};{t:0.5; w:230.0};{t:0.5; w:250.0};{t:0.5; w:260.0};{t:0.5; w:290.0};{t:0.6; w:211.0};{t:0.6; w:230.0};{t:0.6; w:240.0}
Sintered base material,CPS: P-Tex 3000,970,0.33,1516850000,1702220000,1702220000,561730000,570240000,0,0,{t:1.1; w:320.0};{t:1.1; w:340.0};{t:1.1; w:370.0};{t:1.1; w:380.0};{t:1.2; w:170.0};{t:1.2; w:320.0};{t:1.2; w:330.0};{t:1.2; w:335.0};{t:1.2; w:340.0};{t:1.2; w:355.0};{t:1.3; w:240.0};{t:1.3; w:260.0};{t:1.3; w:280.0};{t:1.3; w:290.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:330.0};{t:1.3; w:340.0};{t:1.3; w:380.0};{t:1.7; w:260.0};{t:1.7; w:280.0};{t:1.7; w:290.0};{t:1.7; w:300.0};{t:1.7; w:320.0};{t:1.7; w:330.0};{t:1.7; w:340.0};{t:1.7; w:360.0};{t:2.0; w:340.0}
Sintered base material,CPS: P-Tex 2100,970,0.33,1516850000,1702220000,1702220000,561730000,570240000,0,0,{t:1.0; w:310.0};{t:1.2; w:250.0};{t:1.2; w:320.0};{t:1.2; w:330.0};{t:1.2; w:340.0};{t:1.3; w:240.0};{t:1.3; w:250.0};{t:1.3; w:280.0};{t:1.3; w:316.0};{t:1.3; w:331.0};{t:1.3; w:346.0};{t:1.3; w:376.0};{t:1.6; w:250.0};{t:1.7; w:280.0}
Sintered base material,CPS: P-Tex 2000,970,0.33,1516850000,1702220000,1702220000,561730000,570240000,0,0,{t:1.1; w:135.0};{t:1.1; w:150.0};{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0};{t:1.7; w:130.0};{t:1.7; w:135.0};{t:1.7; w:140.0};{t:1.7; w:150.0};{t:1.7; w:155.0};{t:1.7; w:160.0};{t:1.7; w:165.0};{t:1.7; w:175.0}
Extruded base material,CPS: P-Tex 1100,970,0.33,1516850000,1702220000,1702220000,561730000,570240000,0,0,{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0}
Extruded base material,CPS: P-Tex 900,970,0.33,1516850000,1702220000,1702220000,561730000,570240000,0,0,{t:1.1; w:135.0};{t:1.1; w:150.0};{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0};{t:1.5; w:130.0};{t:1.5; w:135.0};{t:1.6; w:125.0};{t:1.6; w:135.0};{t:1.7; w:130.0};{t:1.7; w:135.0};{t:1.7; w:140.0};{t:1.7; w:150.0};{t:1.7; w:155.0};{t:1.7; w:160.0};{t:1.7; w:165.0};{t:1.7; w:175.0}
Top Material,Watom: Duraclear 117,1070,0.33,1723690000,1934340000,1934340000,638330000,648000000,0,0,{t:1.1; w:135.0};{t:1.2; w:350.0};{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:155.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:280.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:340.0};{t:1.3; w:95.0};{t:1.5; w:150.0};{t:1.5; w:155.0};{t:1.7; w:130.0};{t:1.7; w:135.0};{t:1.7; w:140.0};{t:1.7; w:150.0};{t:1.7; w:155.0};{t:1.7; w:160.0};{t:1.7; w:165.0};{t:1.7; w:280.0};{t:1.7; w:300.0}
Top Material,Watom: Duraclear 111,1070,0.33,1723690000,1934340000,1934340000,638330000,648000000,0,0,{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0}
Top Material,Watom: 210,1070,0.33,1723690000,1934340000,1934340000,638330000,648000000,0,0,{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0}
Top Material,Watom: 211,1070,0.33,1723690000,1934340000,1934340000,638330000,648000000,0,0,{t:0.5; w:320.0};{t:0.5; w:340.0};{t:0.5; w:350.0}
Sintered base material,Isosport: IS 4800,970,0.33,1516850000,1702220000,1702220000,561730000,570240000,0,0,{t:0.5; w:320.0};{t:0.5; w:485.0};{t:0.5; w:515.0};{t:0.5; w:570.0};{t:0.6; w:570.0}
TPU,Isosport: TPU IE 3200 SM 2EV 031,1370,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,{t:0.6; w:320.0};{t:0.6; w:340.0};{t:0.6; w:515.0};{t:0.6; w:570.0};{t:0.7; w:570.0}
Top Material,Isosport: ICP 5275,1070,0.33,1723690000,1934340000,1934340000,638330000,648000000,0,0,{t:0.5; w:320.0};{t:0.5; w:340.0};{t:0.5; w:345.0};{t:0.5; w:515.0};{t:0.5; w:570.0};{t:0.6; w:320.0};{t:0.6; w:340.0};{t:0.6; w:375.0};{t:0.6; w:515.0};{t:0.6; w:570.0}
Top Material,Isosport: ICP 5278,1070,0.33,1723690000,1934340000,1934340000,638330000,648000000,0,0,
Plastic,CPS: TP455,750,0.33,750000000,841660000,841660000,277750000,281950000,0,0,{t:0.6; w:325.0};{t:1.2; w:380.0}
Rubber,Semperit: Haberkorn Rubber,1070,0.33,344740000,386870000,386870000,127670000,129600000,0,0,{t:0.5; w:320.0};{t:0.5; w:330.0};{t:0.5; w:340.0};{t:0.5; w:360.0};{t:0.5; w:375.0};{t:0.5; w:485.0};{t:0.5; w:515.0};{t:0.5; w:580.0};{t:0.6; w:320.0};{t:0.6; w:340.0};{t:0.6; w:360.0};{t:0.6; w:375.0};{t:0.6; w:515.0};{t:0.6; w:570.0}
Urethane,Argotec: Urethane,1070,0.33,344740000,386870000,386870000,127670000,129600000,0,0,{t:0.5; w:320.0};{t:0.6; w:570.0}
Sidewall,CPS: ABS/TPU Sidewall,1070,0.33,2068430000,2321210000,2321210000,766000000,777600000,0,0,
Sidewall,IMS Plast: CPAN 125 GT2 ABS,1070,0.33,2068430000,2321210000,2321210000,766000000,777600000,0,0,
Sidewall,Crown: DS2000 UHMWPE,970,0.33,2068430000,2321210000,2321210000,766000000,777600000,0,0,
PU Foam,BASF: Modipur injection foam,600,0.33,20340000,22830000,22830000,7530000,7650000,0,0,{t:10.5; w:7.0; l:1450.0};{t:10.5; w:7.0; l:1480.0};{t:10.5; w:7.0; l:1500.0};{t:10.5; w:7.0; l:1550.0};{t:10.5; w:7.0; l:1620.0};{t:10.5; w:7.0; l:1650.0};{t:11.5; w:14.0; l:1500.0};{t:11.5; w:8.0; l:1650.0};{t:12.0; w:5.0; l:1400.0};{t:12.0; w:5.0; l:1455.0};{t:12.0; w:5.0; l:1500.0};{t:12.0; w:5.0; l:1530.0};{t:12.0; w:5.0; l:1575.0};{t:12.0; w:5.0; l:1600.0};{t:12.0; w:7.0; l:1550.0};{t:12.0; w:7.0; l:1600.0};{t:12.0; w:7.0; l:1620.0};{t:12.0; w:7.0; l:850.0};{t:12.0; w:7.0; l:900.0};{t:14.0; w:5.0; l:1540.0};{t:14.0; w:5.0; l:1650.0};{t:14.0; w:7.0; l:1650.0};{t:14.0; w:7.0; l:850.0};{t:14.0; w:7.0; l:900.0};{t:9.2; w:7.0; l:1350.0};{t:9.2; w:7.0; l:1450.0};{t:9.2; w:7.0; l:1500.0};{t:9.2; w:7.0; l:1550.0};{t:9.2; w:7.0; l:1600.0}
